name,formality,mode,genre,origin,metre
four_battles_kpv,5,written,prose,translated,free
kpv_ib_2005,5,written,prose,original,free
kpv_izva20140324-1,8,spoken,interview,original,free
kpv_izva20140325-2,8,spoken,interview,original,free
kpv_izva20150402-7-b,8,spoken,interview,original,free
kpv_lit20121201furor,3,written,legal,translated,free
kpv_zbk_1980,4,written,folklore,original,free
kpv_zbk_1985,4,written,folklore,original,poem
tsypanov2009b,2,written,scientific,original,free
kpv_lit19570000lytkin-1323_2az,4,spoken,folklore,original,free
kpv_izva19661025-13757_3a-bz,4,spoken,epic_song,translation,free
kpv_izva19680200-1,4,spoken,epic_song,translation,poem
